Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
,nachfüllen,refill,"Können Sie bitte das Wasser in der Kaffeemaschine nachfüllen""","Could you please refill the water in the coffee machine""",V
,nachgehen,pursue,Er möchte der Ursache für das Problem genau nachgehen.,He wants to investigate the cause of the problem thoroughly.,V
,nachgiebig,yielding,Der Chef war bei der Gehaltsverhandlung erstaunlich nachgiebig.,The boss was surprisingly accommodating during the salary negotiations.,Adj
,nachhaltig,sustainable,Wir legen großen Wert auf eine nachhaltige Produktion.,We place great importance on sustainable production.,Adj
die,"Nachhaltigkeit, -",Sustainability,Nachhaltigkeit ist ein zentrales Thema in unserer Firma.,Sustainability is a central theme in our company.,N
,nachholen,catch up,Ich muss den verpassten Stoff am Wochenende nachholen.,I need to catch up on the missed material over the weekend.,V
,nachlesen,read more,Du kannst die genauen Regeln im Handbuch nachlesen.,You can read the exact rules in the manual.,V
,nachliefern,deliver later,Die fehlenden Teile werden wir Ihnen umgehend nachliefern.,We will send you the missing parts immediately.,V
,nachschauen,look,"Ich muss erst im Kalender nachschauen, ob ich Zeit habe.",I need to check my calendar first to see if I have time.,V
,nächstmöglich,as soon as possible,Bitte melden Sie sich zum nächstmöglichen Zeitpunkt.,Please get in touch as soon as possible.,Adj
,nachteilig,disadvantage,Diese Entscheidung könnte sich nachteilig auf den Umsatz auswirken.,This decision could have a negative impact on sales.,Adj
,nachvollziehbar,understandable,Deine Argumentation ist für mich absolut nachvollziehbar.,Your argument makes perfect sense to me.,Adj
,nachvollziehen,comprehend,Ich kann seine Reaktion in dieser Situation gut nachvollziehen.,I can well understand his reaction in this situation.,V
der,"Nachweis, -e",Proof,Sie müssen einen Nachweis über Ihre Qualifikationen erbringen.,You must provide proof of your qualifications.,N
,nachweisen,prove,Der Forscher konnte die Wirksamkeit des Medikaments nachweisen.,The researcher was able to prove the effectiveness of the drug.,V
die,"Nachweispflicht, -en",Proof of obligation,Für diese Ausgaben besteht eine strenge Nachweispflicht.,These expenses must be strictly documented.,N
der,"Nagellack, -e",Nail polish,Sie trägt heute einen leuchtend roten Nagellack.,She is wearing bright red nail polish today.,N
,nahelegen,suggest,"Ich möchte Ihnen nahelegen, das Angebot anzunehmen.",I would like to suggest that you accept the offer.,V
der,"Nahverkehr, -",Local public transport,Der öffentliche Nahverkehr wird in dieser Stadt stark ausgebaut.,Public transport is being greatly expanded in this city.,N
die,"Nation, -en",Nation,Sportler aus vielen verschiedenen Nationen nehmen teil.,Athletes from many different nations are participating.,N
die,"Naturwissenschaft, -en",Natural science,Er interessiert sich sehr für Naturwissenschaften.,He is very interested in natural sciences.,N
die,"Nebenkosten, -",Additional costs,"Die Miete ist günstig, aber die Nebenkosten sind hoch.","The rent is cheap, but the additional costs are high.",N
die,"Nebentätigkeit, -en",Secondary employment,Eine Nebentätigkeit muss oft vom Arbeitgeber genehmigt werden.,A secondary job often requires approval from the employer.,N
der,"Neid, -",Envy,Ihr Erfolg weckte bei einigen Kollegen großen Neid.,Her success aroused great envy among some colleagues.,N
,nervig,annoying,Das ständige Klingeln des Telefons ist wirklich nervig.,The constant ringing of the phone is really annoying.,Adj
,netto,net,Er verdient etwa 2500 Euro netto im Monat.,He earns about 2500 euros net per month.,Adv
das,"Nettoeinkommen, -",Net income,"Das Nettoeinkommen ist der Betrag, der ausgezahlt wird.",Net income is the amount that is paid out.,N
,netzwerken,networking,Auf der Messe konnte ich erfolgreich netzwerken.,I was able to network successfully at the trade fair.,V
die,"Neuerscheinung, -en",New release,Diese Buch ist eine interessante Neuerscheinung.,This book is an interesting new release.,N
die,"Neuorientierung, -en",Reorientation,Nach der Kündigung brauchte sie eine berufliche Neuorientierung.,"After being laid off, she needed a new career path.",N
der,"Neuwagen, -",New cars,Sie haben sich gestern einen teuren Neuwagen gekauft.,They bought an expensive new car yesterday.,N
die,"Neuwagenabteilung, -en",New car department,Er arbeitet als Verkäufer in der Neuwagenabteilung.,He works as a salesman in the new car department.,N
sich,sich niederlassen,settle,Der Arzt möchte sich in dieser Stadt niederlassen.,The doctor wants to settle in this city.,V
das,"Niveau, -s",Level,Die Diskussion fand auf einem sehr hohen Niveau statt.,The discussion took place at a very high level.,N
die,"Niveaustufe, -n",Level,Dieser Kurs entspricht der Niveaustufe B2.,This course corresponds to level B2.,N
der/die,"Notar/in, -e/-nen",Notary public,Der Vertrag muss noch vom Notar beglaubigt werden.,The contract still needs to be notarized.,N
der,"Notarzt/Notärztin, -ä-e/-ä-nen",Emergency physician/emergency doctor (female),Der Notarzt war zum Glück schnell am Unfallort.,"Fortunately, the emergency doctor arrived quickly at the scene of the accident.",N
der,"Notausgang, -ä-e",Emergency exit,Bitte achten Sie auf die markierten Notausgänge.,Please pay attention to the marked emergency exits.,N
der,"Notfallwagen, -/-ä",Emergency vehicle,Der Notfallwagen steht auf der Station bereit.,The emergency vehicle is ready at the station.,N
der,"Notruf, -e",Emergency call,Bei einem Unfall müssen Sie sofort den Notruf wählen.,"In case of an accident, you must call emergency services immediately.",N
die,"Notrufnummer, -n",Emergency number,Die Notrufnummer der Polizei ist die 110.,The emergency number for the police is 110.,N
die,"Notrufzentrale, -n",Emergency call center,Die Notrufzentrale ist rund um die Uhr besetzt.,The emergency call center is staffed around the clock.,N
die,"Notwendigkeit, -en",Necessity,Ich sehe keine Notwendigkeit für diese Maßnahme.,I see no need for this measure.,N
die,"Nusscreme, -n/-s",Nut cream,Zum Frühstück isst er gerne Brot mit Nusscreme.,For breakfast he likes to eat bread with nut cream.,N
der,"Nutzen, -",To use,"Welchen Nutzen hat diese neue Software für uns""","What benefits does this new software offer us""",N
die,"Nutzerfreundlichkeit, -",User-friendliness,Die Nutzerfreundlichkeit der App wurde deutlich verbessert.,The app's user-friendliness has been significantly improved.,N
die,"Nutzung, -en",Usage,Die private Nutzung des Firmenwagens ist nicht gestattet.,Private use of the company car is not permitted.,N
der/die,"Oberarzt/Oberärztin, -ä-e",Senior physician,Die Oberärztin leitet heute die Visite auf der Station.,The senior physician is leading the ward rounds today.,N
,oberflächlich,superficial,Er hat den Text nur sehr oberflächlich gelesen.,He only read the text very superficially.,Adj
,oberhalb,above,Das Dorf liegt oberhalb der Baumgrenze.,The village lies above the tree line.,Prep
,objektiv,lens,"Wir müssen versuchen, die Situation objektiv zu beurteilen.",We must try to assess the situation objectively.,Adj
,offensichtlich,apparently,"Es ist offensichtlich, dass hier ein Fehler gemacht wurde.",It is obvious that a mistake was made here.,Adj
die,"Öffentlichkeitsarbeit, -en",Public relations,Gute Öffentlichkeitsarbeit ist für das Image wichtig.,Good public relations is important for the image.,N
das,"Öko-Institut, -e",Öko-Institut,Das Öko-Institut veröffentlichte eine neue Studie zum Klima.,The Öko-Institut published a new study on the climate.,N
der,"Ölstand, -e",Oil level,Du solltest vor der langen Fahrt den Ölstand prüfen.,You should check the oil level before the long drive.,N
der,"ÖPNV (öffentlicher Personennahverkehr), -",Public transport,Der ÖPNV in unserer Region wird staatlich gefördert.,Public transport in our region is subsidized by the state.,N
,optimieren,optimize,Wir wollen unsere internen Abläufe weiter optimieren.,We want to further optimize our internal processes.,V
die,"Option, -en",Option,"Wir haben noch eine zweite Option, die wir prüfen sollten.",We have a second option that we should consider.,N
,optional,optional,Die Teilnahme an diesem Workshop ist rein optional.,Participation in this workshop is entirely optional.,Adj
,ordnungsgemäß,properly,Das Gerät muss ordnungsgemäß entsorgt werden.,The device must be disposed of properly.,Adv
das,"Organigramm, -e",Organizational chart,Das Organigramm zeigt die Struktur des Unternehmens.,The organizational chart shows the structure of the company.,N
der/die,"Orthopäde/Orthopädin, -n/-nen",Orthopedist/Orthopedic Surgeon,Wegen meiner Rückenschmerzen gehe ich zum Orthopäden.,I'm going to see an orthopedist because of my back pain.,N
die,"Pädagogik, -en",Pedagogy,Sie hat ein Studium der Pädagogik erfolgreich abgeschlossen.,She has successfully completed a degree in education.,N
die,"Palette, -n",Palette,Die Waren werden auf einer großen Palette geliefert.,The goods are delivered on a large pallet.,N
die,"Pandemie, -n",Pandemic,Die Pandemie hat die Weltwirtschaft stark beeinflusst.,The pandemic has had a major impact on the global economy.,N
die,"Parade, -n",Parade,Anlässlich des Feiertags gab es eine große Parade.,A large parade was held to mark the holiday.,N
der,"Paragraf, -en",Paragraph,Dieser Fall wird im zweiten Paragrafen des Gesetzes geregelt.,This case is regulated in the second paragraph of the law.,N
das,"Paragrafzeichen, -",Paragraph symbol,Das Paragrafzeichen findet man oft in juristischen Texten.,The paragraph symbol is often found in legal texts.,N
der,"Parkausweis, -e",Parking permit,Für diesen Parkplatz benötigen Sie einen gültigen Parkausweis.,You need a valid parking permit for this parking space.,N
die,"Partnerschaft, -en",Partnership,Wir streben eine langfristige Partnerschaft an.,We are aiming for a long-term partnership.,N
die,"Pauschalreise, -n",Package holiday,Sie haben für ihren Urlaub eine Pauschalreise gebucht.,They booked a package holiday for their vacation.,N
der,"Pauschalurlaub, -e",Package holidays,"Ein Pauschalurlaub ist oft entspannter, da alles organisiert ist.","A package holiday is often more relaxing, as everything is organized.",N
,permanent,permanent,Er steht unter permanentem Stress bei der Arbeit.,He is under constant stress at work.,Adj
die,"Personalabteilung, -en",Human Resources Department,Bitte senden Sie Ihre Bewerbung an die Personalabteilung.,Please send your application to the Human Resources department.,N
der,"Personalengpass, -ä-e",Staff shortage,Wegen der Grippewelle haben wir einen Personalengpass.,We are experiencing a staff shortage due to the flu epidemic.,N
der/die,"Personalverantwortliche, -n",HR managers,Die Personalverantwortliche führt heute die Vorstellungsgespräche.,The HR manager is conducting the job interviews today.,N
,personell,personnel,Das Team muss dringend personell verstärkt werden.,The team urgently needs more personnel.,Adj
der,"Persönlichkeitstest, -s",Personality test,Im Assessment-Center wurde ein Persönlichkeitstest durchgeführt.,A personality test was conducted at the assessment center.,N
die,"Perspektive, -n",Perspective,Aus meiner Perspektive sieht die Situation anders aus.,"From my perspective, the situation looks different.",N
die,"Pflege, -",Care,Die Pflege der alten Maschinen ist sehr aufwendig.,Maintaining the old machines is very time-consuming.,N
,pflegebedürftig,in need of care,Sein Großvater ist seit dem Unfall pflegebedürftig.,His grandfather has been in need of care since the accident.,Adj
der/die,"Pflegebedürftige, -n",People in need of care,Pflegebedürftige haben Anspruch auf finanzielle Unterstützung.,People in need of care are entitled to financial support.,N
der,"Pflegedienst, -e",Nursing service,Der ambulante Pflegedienst kommt zweimal täglich vorbei.,The outpatient nursing service comes by twice a day.,N
die,"Pflegedienstleitung, -en",Nursing service management,Die Pflegedienstleitung ist für die Einsatzpläne zuständig.,The nursing service management is responsible for the deployment schedules.,N
die,"Pflegeeinrichtung, -en",Care facility,In dieser Pflegeeinrichtung gibt es viele Freizeitangebote.,This care facility offers many recreational activities.,N
der,"Pflegefall, -ä-e",Care case,"Wenn jemand zum Pflegefall wird, ändert sich vieles.","When someone becomes dependent on care, many things change.",N
das,"Pflegegeld, -er",Care allowance,Die Familie hat einen Antrag auf Pflegegeld gestellt.,The family has applied for care allowance.,N
das,"Pflegeheim, -e",Nursing home,Sie besucht ihre Großmutter jedes Wochenende im Pflegeheim.,She visits her grandmother every weekend in the nursing home.,N
die,"Pflegekasse, -n",Long-term care insurance fund,Die Pflegekasse übernimmt einen Teil der Kosten.,The long-term care insurance fund covers part of the costs.,N
die,"Pflegekraft, -ä-e",Caregiver,Die Pflegekraft kümmert sich sehr liebevoll um die Patienten.,The caregiver takes very loving care of the patients.,N
,pflegerisch,nursing,Die pflegerische Betreuung im Krankenhaus war hervorragend.,The nursing care in the hospital was excellent.,Adj
die,"Pflegeversicherung, -en",Long-term care insurance,Die Beiträge zur Pflegeversicherung wurden erhöht.,Contributions to long-term care insurance have been increased.,N
